Word	Counts
red	190
God	190
Idols	189
ranked	189
rumor	189
currently	189
originally	188
production	188
blind	188
Busker	188
thighs	188
held	188
19	188
prettiest	188
emotions	188
necessary	187
co	187
UEE	187
stayed	187
reply	187
L	187
debuting	186
outfit	186
Yunho	186
careers	186
Ga	186
land	185
Gun	185
screen	185
Yoobin	185
rice	184
victims	184
fool	184
airport	184
copying	184
wise	184
teens	184
Leeteuk	184
reveal	184
thank	184
numbers	183
touched	183
Would	183
caused	182
dead	182
audience	182
drinking	182
stress	182
sings	182
ㅜㅜㅜ	181
criminal	181
certainly	181
dances	181
releases	181
earned	181
channel	181
script	181
chart	180
create	180
path	180
shots	180
paying	180
photo	180
floor	180
disgusting	180
musical	179
Must	179
cameras	179
comparison	179
forcing	178
Yura	178
mid	178
marry	178
alive	178
serving	177
lips	177
cash	177
University	177
walking	177
Get	177
New	177
timing	177
flop	177
understanding	177
step	177
bathroom	177
Best	177
pisses	177
Youngji	176
following	176
Got7	176
mature	176
comfortable	176
pictorial	176
rapping	176
shameless	176
king	175
thrown	175
reasons	175
raised	175
spotlight	175
picked	175
16	175
push	175
ranking	175
sake	174
Sunny	174
noise	174
assault	173
admitted	173
leading	173
questions	173
adults	173
liking	173
genuinely	173
worthy	173
aura	173
gap	173
overall	173
deserving	173
injured	173
Sandara	172
government	172
couples	172
answer	172
art	172
expensive	171
proportions	171
expectations	171
selfish	171
saved	171
congrats	170
angry	170
Being	170
views	170
Ok	169
basic	169
speaking	169
sweet	169
shielding	169
upload	169
rappers	169
growing	169
Style	169
add	169
winner	169
copies	169
insane	168
party	168
focused	168
fire	168
recent	168
standing	168
picking	168
horrible	168
Miss	168
selling	168
Henry	168
hotel	168
suck	168
opinion	168
comebacks	168
responsible	167
erotic	167
Celebrities	167
B1A4	167
Heechul	167
finding	167
wall	167
diet	166
marijuana	166
Way	166
staying	166
spreading	166
combination	165
Gary	165
easier	165
Luhan	165
ready	165
simple	165
afraid	165
separate	165
episodes	164
extra	164
bullying	164
40	164
report	164
wanting	164
complete	164
attending	164
state	164
pressure	163
Hyoyeon	163
pushed	163
twice	163
common	163
simply	163
Myung	163
final	163
began	163
piece	163
Tao	162
Taiji	162
Gain	162
rock	162
maintain	162
YouTube	162
Those	161
battle	161
Inkigayo	161
apart	161
drink	161
major	161
text	161
claimed	161
Americans	160
hidden	160
accept	160
court	160
matters	160
six	160
stopped	160
Kai	160
explain	160
addictive	160
Sojin	160
loving	160
producer	160
Lay	160
lies	160
Chanyeol	159
Yuna	159
colors	159
studying	159
webtoon	159
13	159
produced	159
disband	159
Take	158
filled	158
messed	158
changing	158
oh	158
pushing	158
dreams	158
building	158
performances	158
shock	158
somehow	157
happening	157
♡	157
harassment	157
joined	157
excuses	157
willing	157
Hollywood	157
reactions	156
